PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	TAYLOR, T				TAYLOR, T			FORGING A NEW SWORD - KINTNER,WR	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Book Review																		KINTNER WR, 1958, FORGING NEW SWORD	1	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204 USA	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1959	107	4					580	583						4	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ85					2022-12-18	WOS:A1959CHJ8500006
J	WATSON, AS				WATSON, AS			CRIME AND INSANITY - NICE,RW	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Book Review																		NICE RW, 1958, CRIME INSANITY	1	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1959	107	6					895	902		10.2307/3310197	http://dx.doi.org/10.2307/3310197			8	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ87					2022-12-18	WOS:A1959CHJ8700007
J	[Anonymous]				[Anonymous]			TREATMENT OF THE FEDERAL-TAX LIEN IN BANKRUPTCY PROCEEDINGS	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Article																		BROWN, 1958, HARVARD LAW REV, V72, P77; COLLIER, 1942, BANKRUPTCY; CROSS, 1958, FORDHAM L REV, V27, P1; FELTON, 1959, TAXES, V37, P45; KENNEDY, 1954, YALE LAW J, V63, P905; KENNEDY, 1955, MINN L REV, V39, P697; KENNEDY, 1955, MINN L REV, V39, P719; OGLEBAY, 1950, REF J, V24, P27; OGLEBAY, 1950, REF J, V24, P24; PLUMB, 1958, TAX L REV, V13, P459; PLUMB, 1958, TAX L REV, V13, P488; PRATHER, 1957, BUS LAW, V13, P118; REEVE, 1957, ROCKY MT L REV, V29, P167; SELIGSON, 1955, REF J, V29, P11; SELIGSON, 1955, REF J, V29, P7; WOLFE, 1953, TEMP LQ, V27, P268; WOLFE, 1953, TEMP LQ, V27, P274; 1958, BUS LAW, V14, P12; 1955, HARV L REV, V68, P1475; 1956, MICH L REV, V54, P829; 1958, ST JOHNS L REV, V33, P157; 1953, REF J, V27, P85	22	0	0	0	1	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1959	108	1					77	94						18	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ90					2022-12-18	WOS:A1959CHJ9000004
J	[Anonymous]				[Anonymous]			STATE CONSTITUTIONAL LIMITATIONS ON A MUNICIPALITYS POWER TO APPROPRIATE FUNDS OR EXTEND CREDIT TO INDIVIDUALS AND ASSOCIATIONS	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Article																		COOLEY, 1927, CONSTITUTIONAL LIMIT, V1, P464; HANCOCK, 1957, PA STAT ANN, P43; MORISON, 1950, GROWTH AM REPUBLIC, V2, P113; RHYNE, 1957, MUNICIPAL LAW, P342; RHYNE, 1957, MUNICIPAL LAW, P343; 1956, MINN L REV, V40, P681; 1953, HARV L REV, V66, P898	7	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1959	108	1					95	115						21	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ90					2022-12-18	WOS:A1959CHJ9000005
J	[Anonymous]				[Anonymous]			ABSTENTION - AN EXERCISE IN FEDERALISM	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Article																		HART, 1953, FEDERAL COURTS FEDER, P884; WRIGHT, 1959, TEX LAW REV, V37, P815; WRIGHT, 1959, TEXAS L REV, V37, P821; YOUNG, 1950, TEXAS L REV, V28, P410; 1950, TEXAS L REV, V28, P410; 1959, COLUM L REV, V59, P504	6	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1959	108	2					226	251						26	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ91					2022-12-18	WOS:A1959CHJ9100003
J	[Anonymous]				[Anonymous]			CIVIL COMMITMENT OF THE MENTALLY-ILL	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Article																		CURRAN, 1953, NCL REV, V31, P274; DEUTSCH, 1937, MENTALLY ILL AM, P418; DEWEY, 1913, AM J INSANITY, V69, P571; DITTMAR, 1952, INSANITY LAWS; GREENBLATT, 1955, CUSTODIAL THERAPEUTI; *GROUP ADV PSYCH, 1948, 4 REP COMM PROC, P2; JONES, 1955, LAW CONSCIENCE 1744, pR9; KITTERIE, 1957, J AM JUD SOC, V41, P46; LOWERY, 1953, ANNALS, V286, P100; OVERHOLSER, 1951, J CRIM L C PS, V42, P295; OVERHOLSER, 1951, J CRIM LAW CRIM, V42, P283; *PA MENT HLTH INC, 1957, MENT HLTH BLUEPR PEN, P21; ROSS, 1953, MICH L REV, V53, P353; *US PHS, 1952, PUBL, V51; WEIHOFEN, 1952, MICH L REV, V50, P841; WEIHOFEN, 1952, MICH L REV, V50, P837; WRAY RP, 1958, U PENNSYLVANIA  1104; 1957, ABA REP, V82, P356; 1952, GA BJ, V15, P215; 1944, FLA LJ, V18, P13; 1958, CORNELL LQ, V44, P76; 1951, PA LEGISLATIVE J, V2, P2023; 1957, 1954 1957 ROY COMM L; 1951, GEO WASH L REV, V19, P512; 1947, YALE LJ, V56, P1185; 1897, STATUTES LARGE PENNS, V4, P164	26	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1959	107	5					668	684						17	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ86					2022-12-18	WOS:A1959CHJ8600003
J	[Anonymous]				[Anonymous]			THE KENNEDY-IVES BILL - AN ANALYSIS OF SUGGESTED LABOR LEGISLATION	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Article																		AARON, 1949, ILL L REV, V44, P425; BURDICK, 1946, CRIMES, P564; BURDICK, 1946, LAW CRIME, P568; DODD, 1944, IOWA L REV, V29, P148; FORKOSCH, 1950, U CHI L REV, V18, P735; FORKOSCH, 1953, LABOR LAW, P333; FORKOSCH, 1950, U CHI L REV, V18, P729; JOHNSON, 1954, LAB LJ, V5, P807; JOHNSON, 1954, LAB LJ, V5, P809; KATZ, 1957, LAB LJ, V8, P747; KATZ, 1948, U CHI L REV, V15, P282; KILLINGSWORTH, 1947, WIS L REV, P546; KILLINGSWORTH, 1947, STATE LABOR RELATION, P100; MEANY G, 1958, COMMUNICATION   0207; PIERSON, 1948, IND LAB REL REV, V1, P601; PIERSON, 1948, IND LAB REL REV, V1, P593; SUMMERS, 1951, HARV L REV, V64, P1092; SUMMERS, 1951, HARV L REV, V64, P1068; SUMMERS, 1951, HARVARD LAW REV, V64, P1049; WELLINGTON, 1958, YALE LJ, V67, P1327; WELLINGTON, 1958, YALE LJ, V67, P1349; WERNE, 1951, LABOR RELATIONS, P277; WOLLET, 1949, LABOR RELATIONS FEDE, P34	23	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1959	107	5					685	706						22	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ86					2022-12-18	WOS:A1959CHJ8600004
J	[Anonymous]				[Anonymous]			LEGAL-AID TO INDIGENT CRIMINAL DEFENDANTS IN PHILADELPHIA AND NEW-JERSEY	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Article																		ALLISON, 1957, J AM JUD SOC, V41, P102; ALLISON, 1957, J AM JUD SOC, V41, P103; ALLISON, 1957, J AM JUD SOC, V41, P105; ALLISON, 1958, J AM JUD SOC, V42, P113; BEANEY, 1955, RIGHT COUNSEL, P80; BROWNELL, 1949, CORNELL LQ, V34, P580; BROWNELL, 1951, LEGAL AID US, P123; BROWNELL, 1951, LEGAL AID US, P136; BROWNELL, 1951, LEGAL AID US, P132; BROWNELL, 1951, LEGAL AID US, P144; BUFFALO, 1957, J AM JUD SOC, V41, P107; BUFFALO, 1957, J AM JUD SOC, V41, P109; *BUR MUN RES PA EC, 1958, MAG COURTS PHIL, V89, P168; CARROLL, 1957, SHINGLE, V20, P73; DIMOCK, 1957, NYSB B, V29, P300; DIMOCK, 1956, ABAJ, V42, P219; *DISTR ATT OFF PHI, 1957, BUDG DAT; *DISTR ATT OFF PHI, 1957, ANN REP, V18; *DISTR ATT OFF PHI, 1957, ANN REP, V26; *DISTR ATT OFF PHI, 1957, ANN REP, V3; FABRICANT, 1939, ANNALS, V205, P24; FABRICANT, 1926, ANNALS, V124, P74; FELLMAN, 1951, NEB L REV, V30, P559; FELLMAN, 1951, NEB L REV, V30, P583; FERGUSON, 1957, RUTGERS L REV, V11, P524; FERGUSON, 1957, RUTGERS L REV, V11, P507; FOOTE, 1954, U PENN LAW REV, V102, P1031; HARTSHORNE, 1951, ABAJ, V37, P104; HARTSHORNE, 1951, ABAJ, V37, P105; KNOWLTON, 1956, RUTGERS L REV, V11, P73; KNOWLTON, 1956, RUT L REV, V11, P71; MARDEN, 1957, NYSB B, V29, P289; MARDEN, 1957, NYSB B, V29, P293; MARS, 1959, ABAJ, V45, P272; *MUN COURT PHIL, 1956, ANN REP A4; National Commission on Law Observance and Enforcement [Wickersham Commission], 1931, REP PROS; *PHIL VOL DEF ASS, 1934, ART INC; POLLOCK, 1949, J AM JUD SOC, V32, P174; RUBIN, 1953, ABAJ, V39, P893; SCHWEINBURG, 1944, U CHI L REV, V11, P444; SOLMSSEN, 1957, SHINGLE, V20, P232; SOLMSSEN, 1957, SHINGLE, V20, P231; STEWART, 1948, J AM JUD SOC, V32, P115; STEWART, 1948, MICH ST BJ, V27, P19; TREBACH, CRIMINAL PROCESS LEG, P225; TREBACH, 1957, RUTGERS L REV, V11, P632; TREBACH, CRIMINAL PROCESS LEG, P139; TREBACH, CRIMINAL PROCESS LEG, P98; TREBACH, CRIMINAL PROCESS LEG, P30; TREBACH, 1957, RUTGERS L REV, V11, P625; TREBACH, CRIMINAL PROCESS LEG, P104; TWEED, 1954, LEGAL AID SOC NEW YO, P24; VANDERBILT, 1946, ABAJ, V32, P434; WOOLSTON, 1958, HDB PRACTICE JUVENIL, P1; 1958, COLUM L REV, V58, P832; 1958, U PENNSYLVANIA  1014; 1957, NJLJ, V80, P237; 1931, ABAJ, V17, P141; 1958, LEGAL INTELLIGENCER, V139, P629; 1958, U PA L REV, V106, P589; 1959, SPECIAL COMM ASS BAR; 1959, LEGAL INTELLIGENCER, V140, P294; 1957, NJLJ, V80, P245; 1944, REPORT COMMITTEE CON	64	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1959	107	6					812	853						42	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ87					2022-12-18	WOS:A1959CHJ8700004
J	[Anonymous]				[Anonymous]			CONFLICT-OF-INTERESTS OF GOVERNMENT PERSONNEL - AN APPRAISAL OF THE PHILADELPHIA SITUATION	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Article																		BERGER D, 1958, COMMUNICATION   0618; CLARK, 1958, CRIMES, P910; DILLON, 1911, MUNICIPAL CORPORATIO, V2; KAPLAN, 1958, COLUM L REV, V58, P157; LENHOFF, 1954, COLUM L REV, V54, P214; LILLICH, 1958, FORDHAM L REV, V27, P31; MCELWAIN, 1952, HARV L REV, V65, P955; RILEY JE, 1958, COMMUNICATION   1022; SCOTT, 1956, TRUSTS, V4; SMITH S, 1958, COMMUNICATION   0611; STEFFENS, 1904, SHAME CITIES; *TX LEG COUNC, 1956, COD ETH STAT OFF EMP, P10; *US BUR MUN RES PE, 1956, PHIL GOV, P339; 1957, U PA L REV, V106, P84; 1958, RUTGERS L REV, V12, P582; 1957, U PA L REV, V106, P85	16	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1959	107	7					985	1026						42	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ88					2022-12-18	WOS:A1959CHJ8800004
J	[Anonymous]				[Anonymous]			CONVERSION OF MOTOR CARRIERS FROM CONTRACT TO COMMON UNDER SECTION 312(C) OF THE INTERSTATE COMMERCE ACT	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Article																		ADAMS, 1958, AM EC REV PAPERS P, V48, P527; BURSTEIN, 1957, ICC PRAC J, V24, P375; CARRAWAY, 1958, VAND L REV, V11, P1029; CARRAWAY, 1958, VAND L REV, V11, P1030; FULDA, 1958, MICH L REV, V56, P1263; FULDA, 1958, MICH L REV, V56, P1237; KNORST, 1958, INTERSTATE COMMERCE, V4, P1984; KNORST, 1958, INTERSTATE COMMERCE, V4, P2133	8	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1959	107	8					1150	1175						26	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ89					2022-12-18	WOS:A1959CHJ8900004
J	[Anonymous]				[Anonymous]			THE MARITAL DEDUCTION IN FEDERAL ESTATE TAX - THE TERMINABLE INTEREST RULE	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Article																		ANDERSON, 1956, MICH L REV, V54, P1087; BRUTON, 1955, CASES FEDERAL TAXATI, P138; LOWNDES, 1956, FEDERAL ESTATE GIFT, P371; LOWNDES, 1956, FEDERAL ESTATE GIFT, P391; OLIVER, 1953, CALIF L REV, V41, P638; PARKS, 1951, ROCKY MT L REV, V23, P295; SURREY, 1948, HARV L REV, V61, P1097; SURREY, 1948, HARV L REV, V61, P1118; 1958, KY LJ, V46, P586	9	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1959	107	8					1176	1191						16	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ89					2022-12-18	WOS:A1959CHJ8900005
J	ABRAHAM, HJ				ABRAHAM, HJ			THE CRISIS OF THE OLD ORDER, 1919-1933 - SCHLESINGER,AM	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Book Review																		Schlesinger Arthur N., 2003, CRISIS OLD ORDER 191, V1	1	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1958	106	6					938	940		10.2307/3310401	http://dx.doi.org/10.2307/3310401			3	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ79					2022-12-18	WOS:A1958CHJ7900004
J	ANDERSON, BM				ANDERSON, BM			ESSENTIALS OF INSURANCE LAW, 2ND EDITION - PATTERSON,EW	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Book Review																		PATTERSON EW, 1957, ESSENTIALS INSURANCE	1	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1958	106	5					770	772		10.2307/3310389	http://dx.doi.org/10.2307/3310389			3	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ78					2022-12-18	WOS:A1958CHJ7800007
J	BALKENSTEIN, GJ				BALKENSTEIN, GJ			THE NETHERLANDS INDUSTRIAL-ORGANIZATION ACT OF 1950	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Article																		CLARK, 1947, ALTERNATIVES SERFDOM, P1; *F LAB, 1946, ANN REP; *MIN WORK PART, 1956, REP COUNC ORG EUR; PELS, 1957, INT LABOR REV, V2, P321; PELS, 1957, CONT COLLECTIVE BARG; VANTHEMAAT PV, 1952, SOCIAAL EC WETGEVING, P129; VANTHEMAAT PV, 1957, SOCIAAL EC WETGEVING, P1; 1956, SOCIAL EC COUNCIL PU, V8	8	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1958	106	4					499	524		10.2307/3310199	http://dx.doi.org/10.2307/3310199			26	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ77					2022-12-18	WOS:A1958CHJ7700001
J	BECKMAN, D				BECKMAN, D			THE POWER OF THE COURT TO DETERMINE WITNESS CREDIBILITY - A PROBLEM IN DIRECTING A VERDICT FOR THE PROPONENT OF THE EVIDENCE	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Note																		BOBBE, 1934, CORNELL LQ, V20, P33; CARDOZO, 1928, PARADOX LEGAL SCI, P41; LEVIN, 1951, U PA LAW REV, V100, P320; LEVIN, 1956, EVIDENCE BEHAVIORAL; LEVIN, 1954, U PA L REV, V103, P1; LEVIN, 1951, U PA L REV, V100, P341; LEVIN, 1954, U PA L REV, V103, P10; PROSSER, 1955, TORTS, P133; SMITH, 1924, COLUM L REV, V24, P122; SMITH, 1924, COLUM L REV, V24, P114; SMITH, 1924, COLUM L REV, V24, P117; SMITH, 1924, COL L REV, V24, P111; WIGMORE, 1940, EVIDENCE, V9; 1956, WYO L REV, V10, P164; 1927, NDL REV, V27, P199; 1951, MINN L REV, V35, P186	16	0	0	0	1	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1958	107	2					217	237						21	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ83					2022-12-18	WOS:A1958CHJ8300004
J	BERGER, D				BERGER, D			MUNICIPAL LAW - RHYNE,CS	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Book Review																		Rhyne Charles S, 1957, MUNICIPAL LAW	1	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1958	106	6					940	942		10.2307/3310402	http://dx.doi.org/10.2307/3310402			3	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ79					2022-12-18	WOS:A1958CHJ7900005
J	BOYLE, HC				BOYLE, HC			PENNSYLVANIA FIDUCIARY GUIDE - A HANDBOOK FOR EXECUTORS AND ADMINISTRATORS - HASKINS,GL, SMITH,MP	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Book Review																		HASKINS GL, 1957, PENNSYLVANIA FIDUCIA	1	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1958	106	3					495	498		10.2307/3310480	http://dx.doi.org/10.2307/3310480			4	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ76					2022-12-18	WOS:A1958CHJ7600009
J	GAUS, JM				GAUS, JM			THE REPUBLICAN ERA - 1869-1901 - A STUDY IN ADMINISTRATIVE HISTORY - WHITE,LD	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Book Review																		White L., 1958, REPUBLICAN ERA 1869	1	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1958	107	1					142	144		10.2307/3310410	http://dx.doi.org/10.2307/3310410			3	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ82					2022-12-18	WOS:A1958CHJ8200004
J	KAUPER, PG				KAUPER, PG			THE PRESIDENCY IN THE COURTS - SCHUBERT,GA	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Book Review																		SCHUBERT GA, 1957, PRESIDENCY COURTS	1	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1958	106	3					491	495		10.2307/3310479	http://dx.doi.org/10.2307/3310479			5	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ76					2022-12-18	WOS:A1958CHJ7600008
J	KING, MP				KING, MP			VOICES IN COURT - DAVENPORT,WH	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Book Review																		DAVENPORT WH, 1958, VOICES COURT	1	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1958	107	2					297	298						2	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ83					2022-12-18	WOS:A1958CHJ8300006
J	RUBINSTEIN, AZ				RUBINSTEIN, AZ			CHURCHILL-ROOSEVELT-STALIN - THE WAR THEY WAGED AND THE PEACE THEY SOUGHT - FEIS,H	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Book Review																		Feis Herbert, 1957, CHURCHILL ROOSEVELT	1	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1958	106	4					632	634		10.2307/3310206	http://dx.doi.org/10.2307/3310206			3	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ77					2022-12-18	WOS:A1958CHJ7700007
J	SLOANE, J				SLOANE, J			SELECTED-WRITINGS ON EVIDENCE AND TRIAL - FRYER,WT	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Book Review																		FRYER WT, 1957, SELECTED WRITINGS EV; HOLMES, 1920, COLLECTED LEGAL PAPE, P187; VONVARE L, 1911, PA, V230, P591	3	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1958	106	8					1185	1187		10.2307/3310264	http://dx.doi.org/10.2307/3310264			3	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ81					2022-12-18	WOS:A1958CHJ8100007
J	SMITH, MP				SMITH, MP			THE LAW OF TRUSTS - SCOTT,AW	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Book Review																		SCOTT AUSTIN WAKEMAN, 1956, LAW TRUSTS	1	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1958	106	4					629	632		10.2307/3310205	http://dx.doi.org/10.2307/3310205			4	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ77					2022-12-18	WOS:A1958CHJ7700006
J	STUMBERG, GW				STUMBERG, GW			THE CIVIL-LAW SYSTEM - CASES AND MATERIALS - VONMEHREN,AT	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Book Review																		Pound Roscoe, 1957, CIVIL LAW SYSTEM CAS, pvii	1	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1958	106	8					1180	1181		10.2307/3310262	http://dx.doi.org/10.2307/3310262			2	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ81					2022-12-18	WOS:A1958CHJ8100004
J	TIMBERG, S				TIMBERG, S			INDUSTRIAL-ORGANIZATION AND REGULATION IN THE NETHERLANDS AND UNITED-STATES - SOME COMPARATIVE REFLECTIONS	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Article																			0	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1958	106	4					525	535		10.2307/3310200	http://dx.doi.org/10.2307/3310200			11	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ77					2022-12-18	WOS:A1958CHJ7700002
J	TURNER, GB				TURNER, GB			THE MARCH OF CONQUEST - THE GERMAN VICTORIES IN WESTERN-EUROPE, 1940 - TAYLOR,T	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Book Review																		TAYLOR T, 1958, MARCH CONQUEST GERMA	1	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1958	107	1					144	146		10.2307/3310411	http://dx.doi.org/10.2307/3310411			3	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ82					2022-12-18	WOS:A1958CHJ8200005
J	ULLMAN, RH				ULLMAN, RH			THE DECISION TO INTERVENE, VOL 2, OF SOVIET-AMERICAN RELATIONS, 1917-1920 - KENNAN,GF	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Book Review																		KENNAN GF, 1958, DECISION INTERVENE, V2	1	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204 USA	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1958	106	8					1181	1185						5	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ81					2022-12-18	WOS:A1958CHJ8100005
J	ULLMAN, RH				ULLMAN, RH			RUSSIA, THE ATOM, AND THE WEST - KENNAN,GF	UNIVERSITY OF PENNSYLVANIA LAW REVIEW			English	Book Review																		ACHESON D, 1958, FOREIGN AFF, V36, P371, DOI 10.2307/20029293; KENNAN G, 1947, FOREIGN AFF, V25, P566, DOI DOI 10.2307/20030065; KENNAN GF, 1958, RUSSIA ATOM W	3	0	0	0	0	UNIV PENN LAW SCH	PHILADELPHIA	3400 CHESTNUT ST, PHILADELPHIA, PA 19104-6204 USA	0041-9907			U PENN LAW REV	Univ. Pa. Law Rev.		1958	106	8					1181	1185						5	Law	Social Science Citation Index (SSCI)	Government & Law	CHJ81					2022-12-18	WOS:A1958CHJ8100006
